Time,Date,Volt,Current,Watt
12:00:08 am,10/4/2018,246.02,0,0
12:00:19 am,10/4/2018,245.82,0,0
12:00:30 am,10/4/2018,245.83,0,0
12:00:40 am,10/4/2018,245.89,0,0
12:00:51 am,10/4/2018,246.05,0,0
12:01:02 am,10/4/2018,246.1,0,0
12:01:13 am,10/4/2018,246.13,0,0
12:01:24 am,10/4/2018,246.15,0,0
12:01:34 am,10/4/2018,246.14,0,0
12:01:45 am,10/4/2018,246.26,0,0
12:01:56 am,10/4/2018,246.19,0,0
12:02:07 am,10/4/2018,246.09,0,0
12:02:18 am,10/4/2018,246.22,0,0
12:02:28 am,10/4/2018,246.3,0,0
12:02:39 am,10/4/2018,246.2,0,0
12:02:50 am,10/4/2018,246.07,0,0
12:03:01 am,10/4/2018,246.07,0,0
12:03:12 am,10/4/2018,246.05,0,0
12:03:22 am,10/4/2018,246.03,0,0
12:03:33 am,10/4/2018,246.31,0,0
12:03:44 am,10/4/2018,246.25,0,0
12:03:55 am,10/4/2018,246.36,0,0
12:04:06 am,10/4/2018,246.33,0,0
12:04:16 am,10/4/2018,246.36,0,0
12:04:27 am,10/4/2018,246.45,0,0
12:04:38 am,10/4/2018,246.38,0,0
12:04:49 am,10/4/2018,246.39,0,0
12:05:00 am,10/4/2018,246.58,0,0
12:05:10 am,10/4/2018,246.48,0,0
12:05:21 am,10/4/2018,246.53,0,0
12:05:32 am,10/4/2018,246.38,0,0
12:05:43 am,10/4/2018,246.45,0,0
12:05:54 am,10/4/2018,246.42,0,0
12:06:04 am,10/4/2018,246.38,0,0
12:06:15 am,10/4/2018,246.41,0,0
12:06:26 am,10/4/2018,246.45,0,0
12:06:37 am,10/4/2018,246.5,0,0
12:06:48 am,10/4/2018,246.4,0,0
12:06:58 am,10/4/2018,246.28,0,0
12:07:09 am,10/4/2018,246.34,0,0
12:07:20 am,10/4/2018,246.45,0,0
12:07:31 am,10/4/2018,246.45,0,0
12:07:42 am,10/4/2018,246.43,0,0
12:07:52 am,10/4/2018,246.44,0,0
12:08:03 am,10/4/2018,246.56,0,0
12:08:14 am,10/4/2018,246.6,0,0
12:08:25 am,10/4/2018,246.43,0,0
12:08:36 am,10/4/2018,246.42,0,0
12:08:46 am,10/4/2018,246.27,0,0
12:08:57 am,10/4/2018,246.5,0,0
12:09:08 am,10/4/2018,246.44,0,0
12:09:19 am,10/4/2018,246.44,0,0
12:09:30 am,10/4/2018,246.5,0,0
12:09:40 am,10/4/2018,246.38,0,0
12:09:51 am,10/4/2018,246.44,0,0
12:10:02 am,10/4/2018,246.55,0,0
12:10:13 am,10/4/2018,246.42,0,0
12:10:24 am,10/4/2018,245.79,0,0
12:10:34 am,10/4/2018,245.76,0,0
12:10:45 am,10/4/2018,245.81,0,0
12:11:07 am,10/4/2018,245.85,0,0
12:11:18 am,10/4/2018,245.83,0,0
12:11:28 am,10/4/2018,245.85,0,0
12:11:39 am,10/4/2018,245.77,0,0
12:11:50 am,10/4/2018,245.79,0,0
12:12:01 am,10/4/2018,245.79,0,0
12:12:12 am,10/4/2018,245.92,0,0
12:12:22 am,10/4/2018,245.82,0,0
12:12:33 am,10/4/2018,245.8,0,0
12:12:44 am,10/4/2018,245.85,0,0
12:12:55 am,10/4/2018,245.93,0,0
12:13:06 am,10/4/2018,245.94,0,0
12:13:16 am,10/4/2018,245.88,0,0
12:13:27 am,10/4/2018,245.91,0,0
12:13:38 am,10/4/2018,246.09,0,0
12:13:49 am,10/4/2018,246.14,0,0
12:14:00 am,10/4/2018,246.18,0,0
12:14:10 am,10/4/2018,246.24,0,0
12:14:21 am,10/4/2018,246.12,0,0
12:14:32 am,10/4/2018,246.27,0,0
12:14:43 am,10/4/2018,246.22,0,0
12:14:54 am,10/4/2018,246.16,0,0
12:15:04 am,10/4/2018,246.02,0,0
12:15:15 am,10/4/2018,246.01,0,0
12:15:26 am,10/4/2018,246.13,0,0
12:15:37 am,10/4/2018,246.32,0,0
12:15:48 am,10/4/2018,246.21,0,0
12:15:58 am,10/4/2018,246.22,0,0
12:16:09 am,10/4/2018,246.16,0,0
