Year,Date,Time,Pressure,Air_Temp,Relative_Humidity,Wind_Speed,Wind_Direction,Incoming_Radiation,Rainfall
2018,10-Apr,0:05,100.3,26.93,79.5,1.7,55.96,0,0
2018,10-Apr,0:10,100.3,26.96,79.7,1.9,47.15,0.049,0
2018,10-Apr,0:15,100.3,26.9,79.7,1.925,52.39,0,0
2018,10-Apr,0:20,100.3,26.93,79.9,2.6,65.42,0,0
2018,10-Apr,0:25,100.3,27,79.9,2.15,45.55,0,0
2018,10-Apr,0:30,100.3,26.93,79.9,1.95,4.499,0.049,0
2018,10-Apr,0:35,100.3,26.93,79.9,3.35,52.21,0,0
2018,10-Apr,0:40,100.3,27,80,2.725,46.21,0,0
2018,10-Apr,0:45,100.3,27,79.9,2.5,51.36,0,0
2018,10-Apr,0:50,100.3,26.93,79.9,2,29.15,0,0
2018,10-Apr,0:55,100.3,26.96,79.8,2.275,23.62,0,0
2018,10-Apr,1:00,100.3,26.93,80,2.35,32.43,0,0
2018,10-Apr,1:05,100.3,26.77,80.1,1.725,36.27,0,0
2018,10-Apr,1:10,100.3,26.73,80.2,3.275,23.53,0.049,0
2018,10-Apr,1:15,100.2,26.73,80.3,2.2,66.45,0,0
2018,10-Apr,1:20,100.3,26.7,80.5,2.15,47.24,0,0
2018,10-Apr,1:25,100.2,26.6,80.7,2.7,8.72,0,0
2018,10-Apr,1:30,100.2,26.67,80.7,2.675,60.17,0,0
2018,10-Apr,1:35,100.2,26.67,80.6,1.75,37.02,0,0
2018,10-Apr,1:40,100.2,26.7,80.4,0.2,31.77,0.049,0
2018,10-Apr,1:45,100.2,26.8,80.5,0.2,51.93,0,0
2018,10-Apr,1:50,100.2,26.8,80.3,0.2,29.62,0,0
2018,10-Apr,1:55,100.2,26.73,80.3,0.2,27.65,0.049,0
2018,10-Apr,2:00,100.2,26.77,80.4,0.2,35.9,0,0
2018,10-Apr,2:05,100.2,26.73,80.4,0.2,25.96,0,0
2018,10-Apr,2:10,100.2,26.7,80.5,0.2,40.3,0,0
2018,10-Apr,2:15,100.2,26.67,80.7,0.325,22.96,0,0
2018,10-Apr,2:20,100.2,26.8,80.7,0.2,53.43,0,0
2018,10-Apr,2:25,100.2,26.67,80.7,0.2,29.15,0,0
2018,10-Apr,2:30,100.2,26.67,80.7,0.2,52.58,0,0
2018,10-Apr,2:35,100.2,26.67,80.9,0.2,29.34,0,0
2018,10-Apr,2:40,100.2,26.6,80.9,0.2,45.27,0,0
2018,10-Apr,2:45,100.2,26.6,81.1,0.2,34.21,0,0
2018,10-Apr,2:50,100.2,26.53,81.5,0.225,49.21,0,0
2018,10-Apr,2:55,100.1,26.44,81.7,2.4,49.4,0,0
2018,10-Apr,3:00,100.1,26.4,81.8,1.375,24.28,0.049,0
2018,10-Apr,3:05,100.1,26.4,82,1.625,22.31,0,0
2018,10-Apr,3:10,100.1,26.4,82.1,2.025,29.71,0.049,0
2018,10-Apr,3:15,100.1,26.37,82.2,2.125,25.21,0,0
2018,10-Apr,3:20,100.1,26.37,82.4,2.025,17.25,0,0
2018,10-Apr,3:25,100.1,26.4,82.5,2.325,56.71,0,0
2018,10-Apr,3:30,100.1,26.37,82.5,1.75,50.8,0.049,0
2018,10-Apr,3:35,100.1,26.3,82.6,1.625,45.93,0,0
2018,10-Apr,3:40,100.1,26.34,82.9,2.2,34.21,0,0
2018,10-Apr,3:45,100.1,26.2,83,2.5,25.49,0.049,0
2018,10-Apr,3:50,100.1,26.2,83.2,1.4,31.96,0,0
2018,10-Apr,3:55,100.1,26.2,83.5,1.375,47.71,0.049,0
2018,10-Apr,4:00,100.1,26.11,83.7,1.2,36.93,0,0
2018,10-Apr,4:05,100.1,26.14,83.7,0.2,346.9,0,0
2018,10-Apr,4:10,100.1,26.3,83.8,0.2,0.656,0,0
2018,10-Apr,4:15,100.1,26.2,83.8,0.2,339.7,0,0
2018,10-Apr,4:20,100.1,26.27,83.8,0.2,44.15,0,0
2018,10-Apr,4:25,100.1,26.27,84,1.2,36.37,0,0
2018,10-Apr,4:30,100.1,26.37,84,0.3,52.3,0,0
2018,10-Apr,4:35,100.1,26.2,84,2.125,3.187,0,0
2018,10-Apr,4:40,100.1,26.27,84,1.525,26.71,0.098,0
2018,10-Apr,4:45,100.1,26.27,84,0.2,342.7,0,0
2018,10-Apr,4:50,100.1,26.2,83.7,1.2,8.53,0,0
2018,10-Apr,4:55,100.1,26.34,83.7,0.2,12.75,0,0
2018,10-Apr,5:00,100.1,26.37,83.6,0.2,30.46,0,0
2018,10-Apr,5:05,100.1,26.27,83.5,0.2,39.18,0,0
2018,10-Apr,5:10,100.1,26.27,83.5,1.675,65.61,0,0
2018,10-Apr,5:15,100.1,26.3,83.5,1.525,37.59,0,0
2018,10-Apr,5:20,100.1,26.24,83.4,1.925,38.15,0,0
2018,10-Apr,5:25,100.1,26.2,83.4,1.05,42.55,0,0
2018,10-Apr,5:30,100.1,26.27,83.4,1.45,3.468,0,0
2018,10-Apr,5:35,100.1,26.27,83.3,0.2,338.8,0,0
2018,10-Apr,5:40,100.1,26.27,83.1,0.2,0.562,0,0
2018,10-Apr,5:45,100.1,26.3,83.1,1.175,333.6,0,0
2018,10-Apr,5:50,100.1,26.37,82.9,0.375,28.87,0,0
2018,10-Apr,5:55,100.1,26.27,82.8,0.2,7.12,0,0
2018,10-Apr,6:00,100.1,26.3,82.8,0.75,0,0,0
2018,10-Apr,6:05,100.1,26.3,82.8,1.225,31.96,0,0
2018,10-Apr,6:10,100.1,26.24,82.7,0.825,13.12,0,0
2018,10-Apr,6:15,100.1,26.27,82.7,0.2,354.3,0,0
2018,10-Apr,6:20,100.1,26.4,82.8,0.2,22.78,0,0
2018,10-Apr,6:25,100.1,26.4,82.6,0.2,4.124,0,0
2018,10-Apr,6:30,100.1,26.34,82.5,0.2,73.2,0,0
2018,10-Apr,6:35,100.1,26.34,82.5,0.2,46.58,0,0
2018,10-Apr,6:40,100.1,26.34,82.7,0.2,44.33,0,0
2018,10-Apr,6:45,100.1,26.2,82.9,0.2,38.9,0,0
2018,10-Apr,6:50,100.1,26.24,83,0.2,32.15,0.049,0
2018,10-Apr,6:55,100.1,26.17,83.3,0.2,20.62,0.294,0
2018,10-Apr,7:00,100.1,26.07,83.4,1.125,41.15,0.49,0
2018,10-Apr,7:05,100.1,26.14,83.6,1.625,41.43,1.029,0
2018,10-Apr,7:10,100.2,26.11,83.9,2.225,41.24,3.675,0
2018,10-Apr,7:15,100.2,26.07,84,1.725,47.33,8.28,0
2018,10-Apr,7:20,100.2,26.04,84.3,1.425,33.56,14.02,0
2018,10-Apr,7:25,100.2,26.14,84.6,1.775,55.3,20.58,0
2018,10-Apr,7:30,100.2,26.07,84.8,2.1,46.02,28.13,0
2018,10-Apr,7:35,100.2,26.04,84.9,1.775,32.62,35.43,0
2018,10-Apr,7:40,100.2,26.07,85,1.9,19.5,42.83,0
2018,10-Apr,7:45,100.2,26.07,84.9,0.375,60.55,51.16,0
2018,10-Apr,7:50,100.2,26.14,84.8,0.85,22.68,60.62,0
2018,10-Apr,7:55,100.2,26.14,84.8,1.375,25.87,69.29,0
2018,10-Apr,8:00,100.2,26.24,84.7,1.8,43.58,80.3,0
2018,10-Apr,8:05,100.2,26.24,84.6,2.025,50.24,92.1,0
2018,10-Apr,8:10,100.2,26.3,84.5,1.475,64.95,101.3,0
2018,10-Apr,8:15,100.2,26.34,84.4,2.8,47.71,112,0
2018,10-Apr,8:20,100.2,26.24,84.2,1.625,7.97,124.7,0
2018,10-Apr,8:25,100.2,26.37,84.1,0.2,68.14,139.8,0
2018,10-Apr,8:30,100.3,26.5,83.7,2.025,31.31,150.4,0
2018,10-Apr,8:35,100.3,26.6,83.4,0.2,21,162.6,0
2018,10-Apr,8:40,100.3,26.67,82.9,0.2,44.24,136.6,0
2018,10-Apr,8:45,100.3,26.8,82.4,2.1,34.68,120.1,0
2018,10-Apr,8:50,100.3,26.86,82,3.05,34.12,131.3,0
2018,10-Apr,8:55,100.3,26.93,81.8,2.575,24.28,201,0
2018,10-Apr,9:00,100.3,27,81.3,1.325,36.18,197.9,0
2018,10-Apr,9:05,100.3,27.26,80.9,1.3,48.18,233.2,0
2018,10-Apr,9:10,100.3,27.26,79.8,0.375,106.7,231.8,0
2018,10-Apr,9:15,100.3,27.59,78.7,2.75,125.9,189.1,0
2018,10-Apr,9:20,100.3,27.56,77.7,1.35,22.87,165.8,0
2018,10-Apr,9:25,100.3,27.66,76.6,1.475,13.5,250.3,0
2018,10-Apr,9:30,100.3,27.69,75.4,1.325,42.37,293.5,0
2018,10-Apr,9:35,100.3,27.95,73.9,3,69.08,229.1,0
2018,10-Apr,9:40,100.3,28.05,73.3,1.25,48.55,261.7,0
2018,10-Apr,9:45,100.3,28.32,72.5,1.425,35.62,324.8,0
2018,10-Apr,9:50,100.3,28.45,71.5,2.85,59.89,318.4,0
2018,10-Apr,9:55,100.3,28.45,70.7,2.525,0.281,333.4,0
2018,10-Apr,10:00,100.3,28.38,70.6,0.75,102.4,203.3,0
2018,10-Apr,10:05,100.3,28.45,70.6,2.175,81.6,200.4,0
2018,10-Apr,10:10,100.3,28.58,70.7,2.9,75.1,234.6,0
2018,10-Apr,10:15,100.3,28.45,70.9,0.725,36.09,264.6,0
2018,10-Apr,10:20,100.3,28.38,70.2,2.025,61.39,251.9,0
2018,10-Apr,10:25,100.3,28.71,69.43,1.725,80.1,341.7,0
2018,10-Apr,10:30,100.3,28.73,68.24,0.2,103,242.3,0
2018,10-Apr,10:35,100.3,28.97,66.46,1.575,93.6,376.5,0
2018,10-Apr,10:40,100.3,29,65.2,1.775,112.5,384.2,0
2018,10-Apr,10:45,100.3,29.29,64.67,1.75,2.717,380.7,0
2018,10-Apr,10:50,100.3,29.45,64.4,0.2,96.7,377.7,0
2018,10-Apr,10:55,100.3,29.48,63.68,0.2,189.7,357,0
2018,10-Apr,11:00,100.3,29.58,63.94,0.525,172.8,389.3,0
2018,10-Apr,11:05,100.3,29.62,63.61,2.15,66.81,373.5,0
2018,10-Apr,11:10,100.3,29.81,63.97,0.2,119.8,383.5,0
2018,10-Apr,11:15,100.3,30.08,63.41,0.2,4.216,336.7,0
2018,10-Apr,11:20,100.3,29.42,64.17,0.875,17.9,419.6,0
2018,10-Apr,11:25,100.3,29.42,64.7,2.95,74.3,447.7,0
2018,10-Apr,11:30,100.3,29.55,64.5,1.35,123.6,328.3,0
2018,10-Apr,11:35,100.3,29.55,62.19,1.875,117.8,522.3,0
2018,10-Apr,11:40,100.3,29.68,60.87,1.175,130.2,560.4,0
2018,10-Apr,11:45,100.3,29.91,62.95,1.525,106.7,493.2,0
2018,10-Apr,11:50,100.3,29.94,64.4,0.975,133.8,344.4,0
2018,10-Apr,11:55,100.3,29.68,63.81,2.05,204.6,541.1,0
2018,10-Apr,12:00,100.3,29.68,60.71,2.075,93.6,515.5,0
2018,10-Apr,12:05,100.3,30.44,58.36,0.2,191.3,515.1,0
2018,10-Apr,12:10,100.2,30.6,57.8,1.875,129,494.4,0
2018,10-Apr,12:15,100.2,30.44,55.63,1.825,94.7,479.2,0
2018,10-Apr,12:20,100.2,30.47,57.97,1.2,119.4,466.7,0
2018,10-Apr,12:25,100.2,30.44,57.67,3.125,113,454.5,0
2018,10-Apr,12:30,100.2,30.08,56.32,3.375,95.1,472.5,0
2018,10-Apr,12:35,100.2,30.01,53.91,0.5,136.1,470.5,0
2018,10-Apr,12:40,100.2,30.5,52.52,2,124.1,455.6,0
2018,10-Apr,12:45,100.2,30.27,52.69,1.55,116.4,460.8,0
2018,10-Apr,12:50,100.2,30.41,52.66,2.875,96.5,469,0
2018,10-Apr,12:55,100.2,30.34,52.49,2.475,73,490.8,0
2018,10-Apr,13:00,100.2,30.47,53.18,1.625,77.7,498.2,0
2018,10-Apr,13:05,100.2,30.41,53.45,1.45,128,514.8,0
2018,10-Apr,13:10,100.2,30.87,53.15,0.875,37.2,517,0
2018,10-Apr,13:15,100.1,30.83,52.19,0.85,76.1,575.7,0
2018,10-Apr,13:20,100.1,31,52.99,0.2,108.9,576.9,0
2018,10-Apr,13:25,100.1,31,53.25,1.35,151.6,555.4,0
2018,10-Apr,13:30,100.1,31.23,54.01,1.5,126.6,555.1,0
2018,10-Apr,13:35,100.1,31.43,52.99,0.2,136.4,540.1,0
2018,10-Apr,13:40,100.1,31.46,53.68,1.1,133.1,616.2,0
2018,10-Apr,13:45,100.1,31.26,55.1,1.525,177.4,586.3,0
2018,10-Apr,13:50,100.1,31.3,54.64,0.4,96,569,0
2018,10-Apr,13:55,100.1,31.59,54.21,1.55,124.6,650.6,0
2018,10-Apr,14:00,100.1,31.63,53.55,0.675,147.9,633.6,0
2018,10-Apr,14:05,100.1,31.3,53.05,2.525,138.3,576,0
2018,10-Apr,14:10,100,31.26,51.67,2.225,124,603.8,0
2018,10-Apr,14:15,100,31.26,50.81,2.85,118.6,610.5,0
2018,10-Apr,14:20,100,31.33,51.8,0.2,95,603.9,0
2018,10-Apr,14:25,100,31.69,51.3,1.325,169.7,565.2,0
2018,10-Apr,14:30,100,31.59,49.88,2.4,98,525.3,0
2018,10-Apr,14:35,100,31.53,45.86,2.625,103.8,531.5,0
2018,10-Apr,14:40,100,31.49,43.81,3.25,145.9,480.8,0
2018,10-Apr,14:45,100,31.73,46.09,0.85,119.2,465,0
2018,10-Apr,14:50,100,31.63,49.26,0.2,105.6,491.2,0
2018,10-Apr,14:55,99.9,31.79,47.97,1.975,123,494.8,0
2018,10-Apr,15:00,99.9,32.06,48.89,2.025,97.8,473.9,0
2018,10-Apr,15:05,99.9,31.66,50.54,0.55,111.2,466.3,0
2018,10-Apr,15:10,99.9,31.79,50.58,3,104.8,428.9,0
2018,10-Apr,15:15,99.9,31.36,51.14,1.85,102.5,478.7,0
2018,10-Apr,15:20,99.9,31.59,50.21,1.35,136.5,446.4,0
2018,10-Apr,15:25,99.9,31.79,49.36,1.4,135.9,406.9,0
2018,10-Apr,15:30,99.9,31.73,50.48,4.8,86.7,389.4,0
2018,10-Apr,15:35,99.9,31.16,52.75,4.1,112.3,384.9,0
2018,10-Apr,15:40,99.9,31.2,52.95,3.625,116.6,412.8,0
2018,10-Apr,15:45,99.9,31.23,53.32,1.8,102.7,405.2,0
2018,10-Apr,15:50,99.9,31.4,52.06,2.4,119.2,394.3,0
2018,10-Apr,15:55,99.9,31.07,52.52,5.1,107.4,383.3,0
2018,10-Apr,16:00,99.9,31.03,52.52,3.25,120.5,364.2,0
2018,10-Apr,16:05,99.9,31.26,52.39,2.85,117.3,371.4,0
2018,10-Apr,16:10,99.9,31.13,52.52,2.725,130.3,369.8,0
2018,10-Apr,16:15,99.9,31.13,52.26,2.625,105.7,367,0
2018,10-Apr,16:20,99.9,31.33,52.59,2.325,114.7,336.1,0
2018,10-Apr,16:25,99.9,31.1,53.91,3.475,114,320.7,0
2018,10-Apr,16:30,99.9,31.07,54.9,1.925,107.5,307.3,0
2018,10-Apr,16:35,99.9,30.74,56.38,4.725,102.2,303,0
2018,10-Apr,16:40,99.9,30.54,58.2,2.675,128.7,294.7,0
2018,10-Apr,16:45,99.8,30.47,59.62,3.825,109.2,286.4,0
2018,10-Apr,16:50,99.8,30.54,60.44,3.925,129.2,279,0
2018,10-Apr,16:55,99.8,30.14,62.42,4.775,79.5,281.6,0
2018,10-Apr,17:00,99.8,29.91,63.58,4.35,71.9,274.9,0
2018,10-Apr,17:05,99.9,29.88,63.81,4.05,122.6,257.3,0
2018,10-Apr,17:10,99.9,29.61,64.27,5.175,90.7,251.6,0
2018,10-Apr,17:15,99.9,29.55,64.9,2.625,79.6,234,0
2018,10-Apr,17:20,99.9,29.58,64.8,4.1,147.7,208.5,0
2018,10-Apr,17:25,99.9,29.61,64.8,2.8,120.7,200.7,0
2018,10-Apr,17:30,99.9,29.75,64.34,3.3,100.9,182.6,0
2018,10-Apr,17:35,99.9,29.45,64.73,3.225,91.6,172.1,0
2018,10-Apr,17:40,99.9,29.35,65.13,5.05,94.9,162.2,0
2018,10-Apr,17:45,99.9,29.28,65.65,2.75,114.1,150.1,0
2018,10-Apr,17:50,99.9,29.28,66.05,5.1,114.2,135.6,0
2018,10-Apr,17:55,99.9,29.05,66.51,2.975,109.2,122.2,0
2018,10-Apr,18:00,99.9,29.05,66.78,2,128.5,112.3,0
2018,10-Apr,18:05,99.9,29.19,66.78,0.525,63.34,103.6,0
2018,10-Apr,18:10,99.9,29.22,66.94,3.725,109.4,92.9,0
2018,10-Apr,18:15,99.9,29.15,67.4,3.2,88.5,77.8,0
2018,10-Apr,18:20,99.9,29.22,67.57,1.1,84.8,65.83,0
